Riutunut kuusenrunko,Ateneum,2014
Merikotka,Ateneum,1941
?,Sinebrychoffin taidemuseo,1926
Hommage,Kiasma,2003
Mandoliinin soittaja,Ateneum,1945
Luonnoskirja,Ateneum,1988
Luonnoskirja,Ateneum,1953
Kolme esiintyjää 2,Kiasma,2015
Sommitelma,Ateneum,1998
Kapakkakohtaus,Ateneum,1938
"Pääsiäismuna, venäläinen",Sinebrychoffin taidemuseo,2007
nimetön,Kiasma,1999
Äiti,Ateneum,2011
Vaellus Golgatalta,Sinebrychoffin taidemuseo,1889
Pojanpää,Ateneum,1950
Lumista ryteikköä,Ateneum,1875
no title,Kiasma,2012
Meri ja purjelaivoja,Ateneum,2003
nimetön (maisema),Kiasma,1999
"Fredrik II, Preussin kuningas",Sinebrychoffin taidemuseo,1900
Sarjasta Orfeus ja Eurydike nro 484,Ateneum,1974
Nokian virta,Ateneum,1890
Seuranpitoa,Sinebrychoffin taidemuseo,1941
Istuva poika,Ateneum,1989
Nimetön,Kiasma,1990
Omakuva,Kiasma,1999
Ihmissusi,Kiasma,1999
?,Sinebrychoffin taidemuseo,1926
"luonnoslehtiö, luonnos mm. Nälkä-sarjakuvaan ja alastontutkielma sekä luonnos kahvipannupäisiin ihmisiin",Kiasma,1999
Kevättalvi I,Ateneum,2003
Seurauksia sarjasta Postitie Hämeessä,Kiasma,2010
Maisema,Ateneum,2002
Exlibris Axel Gallén,Ateneum,1999
Naiskuva kolmen keisarikunnan ajalta,Ateneum,1919
Monacon kahvilan tarjoilija Charles,Ateneum,1951
Amberleyn jokilaakso (Arunjoki),Ateneum,1952
Grande Passion,Sinebrychoffin taidemuseo,1923
Kaksi pässiä,Sinebrychoffin taidemuseo,1900
Drömlandskap,Ateneum,2003
"""Hus"" Onyx II",Ateneum,1994
Miehen muotokuva,Sinebrychoffin taidemuseo,1921
Poika karvareuhka päässä,Ateneum,1948
Nuorukaisen pää,Ateneum,1932
Satukohtaus; kylän väki syö mannaa kirkkomaisemassa,Ateneum,1989
La Tauromaquia,Sinebrychoffin taidemuseo,1965
nimetön,Kiasma,1999
"Sisäkuva Finströmin kirkosta, avoimesta ovesta näkyvä kirkonpenkki",Ateneum,1874
Istuva alaston nainen,Ateneum,1989
Yöportaat,Kiasma,1980
Kallioita,Ateneum,2008
3-vektorimallipostikortti,Kiasma,1990
Traaginen naamio,Ateneum,1937
Avotakka,Ateneum,1874
Venus,Ateneum,2010
Mysteerikylpijät,Ateneum,2008
Istuva ukko,Ateneum,1962
"""Minun nuoruuteni kuu oli kalpea aina ja kalvas..."" Tuomas Anhava - Runokokoelmasta: Runoja 1961, Otava 1961",Ateneum,1979
Cap.(o) Spessa Monti - Bagattino / Balli di Sfessania -sarja,Sinebrychoffin taidemuseo,1900
Seitsemän veljeksen kuvitusta,Ateneum,1934
Silta,Ateneum,1957
"luonnoslehtiö, mm. sarjakuvaluonnos ""Geisha""",Kiasma,1999
Omakuva,Ateneum,2011
Nimetön,Kiasma,1992
Vuohi ja kaksi lammasta,Sinebrychoffin taidemuseo,1900
"Luonnoskirja, (114s)",Ateneum,2003
Italiasta,Ateneum,1939
"26 opetusmallia, ihmisten päitä ja jäseniä, sidottu vihkoksi",Sinebrychoffin taidemuseo,1900
Purjevene myrskyssä,Ateneum,1968
Luonnoskirja,Ateneum,1948
Janus ja Juno ?,Sinebrychoffin taidemuseo,1889
Muunnelma tuolista,Ateneum,1983
Jeesus ja samarialainen nainen raunioiden keskellä,Sinebrychoffin taidemuseo,1900
(Kana?) haukka ja kukko tappelevat,Ateneum,1989
Varaslähtö,Kiasma,1984
"Enkeli, kopio Leonardo da Vincin Marian ilmestys-maalauksen mukaan, osa",Ateneum,1895
Seisova miesmalli,Ateneum,1938
Maisema,Kiasma,1999
Akka teurastaa lehmää,Ateneum,1989
sarjasta Muistikuvia Litorinamereltä,Kiasma,2000
Mies ja Kala II,Ateneum,1971
Surimono,Ateneum,1998
no title,Sinebrychoffin taidemuseo,1919
Muotokuvaharjoitelma,Ateneum,1930
Kuormahevosia,Ateneum,1998
"Varhain aamulla, aihe Oppegaardista Norjasta",Ateneum,1910
"Turistiruno, Sininen laguuni",Kiasma,1996
"Kangaspuiden ääressä, kohtaus Hirvenhiihtäjistä ; keskeneräinen",Ateneum,1983
Omakuva,Ateneum,1937
Puisto,Kiasma,2003
Hundra Dagar,Kiasma,0
